MorphologicalFeature;PictureNumberAll;IndividualPlantNumberAll;PictureNumberTrain;IndividualPlantNumberTrain;PictureNumberTest;IndividualPlantNumberTest;perfectRun_OfficialScore_InverseRank;randomRun_0_OfficialScore_InverseRank;randomRun_1_OfficialScore_InverseRank;randomRun_2_OfficialScore_InverseRank;randomRun_3_OfficialScore_InverseRank;randomRun_4_OfficialScore_InverseRank;
color: dark;928;192;720;101;208;91;1.0000000;0.0021691;0.0072608;0.0023631;0.0080201;0.0174655;
color: light;175;60;122;33;53;27;1.0000000;0.0096154;0.0122863;0.0021368;0.0200321;0.0064103;
lobation: bilobed;63;5;61;3;2;2;1.0000000;0.0000000;0.2500000;0.0000000;0.0000000;0.0000000;
lobation: lobes;522;107;387;59;135;48;1.0000000;0.0068750;0.0020513;0.0066282;0.0133358;0.0109127;
lobation: no lobes;1694;359;1346;194;348;165;1.0000000;0.0065660;0.0130481;0.0073167;0.0146425;0.0143192;
lobation: palmately lobed;462;100;342;55;120;45;1.0000000;0.0073333;0.0012974;0.0070701;0.0171790;0.0113757;
lobation: pinnately lobed;60;7;45;4;15;3;1.0000000;0.0000000;0.0324074;0.0000000;0.0000000;0.0092593;
margin: entire;1294;251;1024;132;270;119;1.0000000;0.0045477;0.0239907;0.0055773;0.0091369;0.0223502;
margin: toothed;1058;239;829;133;229;106;1.0000000;0.0069761;0.0020842;0.0168060;0.0329584;0.0108642;
margin: toothed crenate;369;78;297;45;72;33;1.0000000;0.0014245;0.0023051;0.0329060;0.0936864;0.0061050;
margin: toothed dentate;525;133;418;72;107;61;1.0000000;0.0051380;0.0027363;0.0299529;0.0800245;0.0134402;
margin: toothed serrate ;608;119;485;67;123;52;1.0000000;0.0048710;0.0007130;0.0316667;0.0381271;0.0041791;
organisation: bipinnately compound;45;9;40;5;5;4;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
organisation: compound;470;107;376;57;94;50;1.0000000;0.0077160;0.0192901;0.0282407;0.0623264;0.0066667;
organisation: palmately compound;95;20;80;11;15;9;1.0000000;0.0185185;0.0046296;0.0555556;0.1666667;0.0000000;
organisation: pinnately compound;338;83;262;44;76;39;1.0000000;0.0104167;0.0291667;0.0109375;0.0089193;0.0078125;
organisation: simple;1746;359;1357;196;389;163;1.0000000;0.0051763;0.0036992;0.0056457;0.0102800;0.0123815;
organisation: trifoliate compound;7;2;6;1;1;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
shape: asymmetrical;89;33;63;18;26;15;1.0000000;0.0078125;0.0104167;0.0416667;0.0019531;0.0000000;
shape: elliptic;845;185;680;101;165;84;1.0000000;0.0057870;0.0050881;0.0053253;0.0145648;0.0192722;
shape: lanceolate;440;98;311;55;129;43;1.0000000;0.0036905;0.0053347;0.0262755;0.0046775;0.0091412;
shape: linear;133;38;107;20;26;18;1.0000000;0.0000000;0.0000000;0.0000000;0.0277778;0.0138889;
shape: lobate;570;109;445;60;125;49;1.0000000;0.0068750;0.0050647;0.0066282;0.0132118;0.0106647;
shape: oboval;441;55;364;30;77;25;1.0000000;0.0024420;0.0215161;0.0000000;0.0145299;0.0061911;
shape: orbicular;325;77;244;41;81;36;1.0000000;0.0048077;0.0077754;0.0021368;0.0166361;0.0088480;
stipule;106;16;97;9;9;7;1.0000000;0.0000000;0.0000000;0.0000000;0.0125000;0.0000000;
surface: mate;1408;322;1115;177;293;145;1.0000000;0.0063315;0.0142983;0.0115758;0.0198653;0.0092782;
surface: shiny;808;144;618;76;190;68;1.0000000;0.0040697;0.0012468;0.0044098;0.0083333;0.0166849;
thorn;176;44;147;22;29;22;1.0000000;0.0000000;0.0000000;0.0113636;0.0000000;0.0307359;
venation: arcuate;1111;230;888;122;223;108;1.0000000;0.0077779;0.0132560;0.0078066;0.0088345;0.0148110;
venation: no;30;2;28;1;2;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
venation: one main median;133;38;107;20;26;18;1.0000000;0.0000000;0.0000000;0.0000000;0.0277778;0.0138889;
venation: palmate;352;94;266;50;86;44;1.0000000;0.0083333;0.0062505;0.0022986;0.0119248;0.0164928;
venation: parallel;72;11;68;7;4;4;1.0000000;0.0000000;0.0833333;0.0000000;0.0000000;0.2500000;
venation: pinnate;887;181;674;100;213;81;1.0000000;0.0023911;0.0051390;0.0189065;0.0332032;0.0055844;
