MorphologicalFeature;PictureNumberAll;IndividualPlantNumberAll;PictureNumberTrain;IndividualPlantNumberTrain;PictureNumberTest;IndividualPlantNumberTest;perfectRun_OfficialScore_InverseRank;randomRun_0_OfficialScore_InverseRank;randomRun_1_OfficialScore_InverseRank;randomRun_2_OfficialScore_InverseRank;randomRun_3_OfficialScore_InverseRank;randomRun_4_OfficialScore_InverseRank;
color: dark;1223;86;847;49;376;37;1.0000000;0.0077541;0.0076105;0.0121467;0.0137065;0.0503716;
color: light;623;37;335;21;288;16;1.0000000;0.0138884;0.0092067;0.0510064;0.0191118;0.0116586;
lobation: bilobed;42;3;35;2;7;1;1.0000000;0.0476190;0.0000000;0.0000000;0.0000000;0.0238095;
lobation: lobes;540;50;357;30;183;20;1.0000000;0.0042665;0.0103333;0.0202558;0.0187099;0.0152594;
lobation: no lobes;2186;153;1462;88;724;65;1.0000000;0.0121504;0.0081456;0.0147460;0.0157392;0.0500956;
lobation: palmately lobed;459;40;311;24;148;16;1.0000000;0.0037704;0.0136732;0.0268424;0.0168249;0.0122974;
lobation: pinnately lobed;81;10;46;6;35;4;1.0000000;0.0046296;0.0000000;0.0316468;0.0157407;0.0263228;
margin: entire;1384;100;922;58;462;42;1.0000000;0.0103373;0.0110103;0.0246912;0.0117940;0.0084139;
margin: toothed;1450;110;979;64;471;46;1.0000000;0.0074545;0.0116145;0.0157425;0.0228509;0.0546706;
margin: toothed crenate;406;35;295;21;111;14;1.0000000;0.0028571;0.0073810;0.0194762;0.0087500;0.0020040;
margin: toothed dentate;562;37;361;22;201;15;1.0000000;0.0115051;0.0303715;0.0172633;0.0185508;0.0198075;
margin: toothed serrate ;681;57;486;33;195;24;1.0000000;0.0102906;0.0157029;0.0143629;0.0259074;0.0702913;
organisation: bipinnately compound;67;5;63;3;4;2;1.0000000;0.0000000;0.1666667;0.0000000;0.0000000;0.0000000;
organisation: compound;520;37;399;22;121;15;1.0000000;0.0100979;0.0147222;0.0157407;0.0098509;0.0730519;
organisation: palmately compound;15;2;10;1;5;1;1.0000000;0.1000000;0.0000000;0.0000000;0.0000000;0.1000000;
organisation: pinnately compound;461;32;346;19;115;13;1.0000000;0.0074789;0.0182576;0.0192222;0.0111544;0.0697186;
organisation: simple;2206;166;1420;96;786;70;1.0000000;0.0089855;0.0085086;0.0190525;0.0169689;0.0100838;
organisation: trifoliate compound;42;2;41;1;1;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
shape: asymmetrical;215;8;145;5;70;3;1.0000000;0.0123457;0.0041371;0.0533557;0.0115741;0.0097518;
shape: elliptic;1180;86;771;48;409;38;1.0000000;0.0091680;0.0110699;0.0276138;0.0222055;0.0119447;
shape: lanceolate;876;53;520;30;356;23;1.0000000;0.0091122;0.0132853;0.0158979;0.0170254;0.0098510;
shape: linear;370;22;264;13;106;9;1.0000000;0.0067766;0.0061728;0.0122993;0.0504965;0.0101230;
shape: lobate;599;55;399;33;200;22;1.0000000;0.0048475;0.0090436;0.0198838;0.0180154;0.0149844;
shape: oboval;423;32;284;19;139;13;1.0000000;0.0114905;0.0094444;0.0312875;0.0244167;0.0280759;
shape: orbicular;391;28;290;17;101;11;1.0000000;0.0141857;0.0039188;0.0015432;0.0094070;0.0162967;
stipule;30;4;8;2;22;2;1.0000000;0.0083333;0.0208333;0.0138889;0.0000000;0.0972222;
surface: mate;1810;134;1205;79;605;55;1.0000000;0.0074429;0.0074553;0.0246668;0.0205889;0.0456296;
surface: shiny;941;70;641;40;300;30;1.0000000;0.0115331;0.0128961;0.0063310;0.0080395;0.0118749;
thorn;124;10;93;6;31;4;1.0000000;0.0156250;0.0478395;0.0324074;0.0061728;0.0000000;
venation: arcuate;718;72;491;41;227;31;1.0000000;0.0109253;0.0103413;0.0275651;0.0143151;0.0546574;
venation: no;2;1;2;1;0;0;null;null;null;null;null;null;
venation: one main median;344;17;275;11;69;6;1.0000000;0.0066667;0.0061728;0.0114638;0.0391057;0.0111725;
venation: palmate;238;29;196;19;42;10;1.0000000;0.0000000;0.0153704;0.0433333;0.0388889;0.0011111;
venation: parallel;116;8;82;5;34;3;1.0000000;0.0202381;0.0443627;0.0147059;0.0125000;0.0416141;
venation: pinnate;878;82;642;48;236;34;1.0000000;0.0057981;0.0158423;0.0136418;0.0276639;0.0152590;
