Species;PictureNumberAll;IndividualPlantNumberAll;PictureNumberTrain;IndividualPlantNumberTrain;PictureNumberTest;IndividualPlantNumberTest;perfectRun_OfficialScore_InverseRank;randomRun_0_OfficialScore_InverseRank;randomRun_1_OfficialScore_InverseRank;randomRun_2_OfficialScore_InverseRank;randomRun_3_OfficialScore_InverseRank;randomRun_4_OfficialScore_InverseRank;
Acer campestre;98;14;46;9;52;5;1.0000000;0.0125000;0.0351852;0.0038411;0.0065883;0.0073985;
Acer monspessulanum;99;7;67;6;32;1;1.0000000;0.0703125;0.0052083;0.0104167;0.0312500;0.0409722;
Acer negundo;58;4;38;2;20;2;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0054945;
Acer opalus;17;3;15;2;2;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Acer platanoides;31;4;22;2;9;2;1.0000000;0.0416667;0.0000000;0.0000000;0.0000000;0.0000000;
Acer pseudoplatanus;23;5;14;3;9;2;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Acer saccharinum;24;3;17;2;7;1;1.0000000;0.0000000;0.0285714;0.0000000;0.1428571;0.0000000;
Aesculus hippocastanum;44;8;29;6;15;2;1.0000000;0.0166667;0.0000000;0.0000000;0.0000000;0.0000000;
Ailanthus altissima;0;0;0;0;0;0;null;null;null;null;null;null;
Albizia julibrissin;45;1;45;1;0;0;null;null;null;null;null;null;
Alnus cordata;73;6;39;3;34;3;1.0000000;0.0031250;0.0380952;0.0000000;0.0239583;0.0000000;
Alnus glutinosa;25;3;20;2;5;1;1.0000000;0.0000000;0.2000000;0.0000000;0.0000000;0.0222222;
Arbutus unedo;94;10;75;8;19;2;1.0000000;0.0000000;0.0125000;0.0468074;0.0090909;0.0000000;
Betula pendula;92;8;79;6;13;2;1.0000000;0.0000000;0.0625000;0.0000000;0.0000000;0.0000000;
Betula pubescens;16;2;4;1;12;1;1.0000000;0.0000000;0.0208333;0.0327381;0.0000000;0.0925926;
Betula utilis var. jacquemontii;26;2;16;1;10;1;1.0000000;0.0250000;0.0000000;0.0000000;0.0000000;0.0142857;
Broussonetia papyrifera;64;2;58;1;6;1;1.0000000;0.1666667;0.0000000;0.0000000;0.0000000;0.0000000;
Buddleja davidii;84;2;75;1;9;1;1.0000000;0.0158730;0.3333333;0.0000000;0.0158730;0.0000000;
Buxus sempervirens;219;5;181;3;38;2;1.0000000;0.0046296;0.0023148;0.0351852;0.0138889;0.0357143;
Capparis spinosa;47;4;26;2;21;2;1.0000000;0.0000000;0.0125000;0.0000000;0.0227273;0.0090909;
Carpinus betulus;70;7;57;4;13;3;1.0000000;0.0666667;0.0000000;0.0138889;0.0000000;0.0000000;
Castanea sativa;96;10;69;8;27;2;1.0000000;0.0506344;0.0190789;0.0953947;0.0339912;0.0065789;
Celtis australis;133;12;63;9;70;3;1.0000000;0.0000000;0.0049020;0.0163996;0.0069717;0.0058333;
Cerasus mahaleb;55;2;49;1;6;1;1.0000000;0.0000000;0.0833333;0.0000000;0.0000000;0.0000000;
