Species;PictureNumberAll;IndividualPlantNumberAll;PictureNumberTrain;IndividualPlantNumberTrain;PictureNumberTest;IndividualPlantNumberTest;perfectRun_OfficialScore_InverseRank;randomRun_0_OfficialScore_InverseRank;randomRun_1_OfficialScore_InverseRank;randomRun_2_OfficialScore_InverseRank;randomRun_3_OfficialScore_InverseRank;randomRun_4_OfficialScore_InverseRank;
Acer campestre;22;4;21;3;1;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Acer monspessulanum;32;4;21;2;11;2;1.0000000;0.0000000;0.0083333;0.0666667;0.0000000;0.0000000;
Acer negundo;37;2;26;1;11;1;1.0000000;0.0000000;0.0303030;0.0000000;0.0129870;0.0000000;
Acer opalus;33;2;27;1;6;1;1.0000000;0.0000000;0.0000000;0.0833333;0.0000000;0.0000000;
Acer platanoides;20;3;19;2;1;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Acer pseudoplatanus;6;2;4;1;2;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Acer saccharinum;0;0;0;0;0;0;null;null;null;null;null;null;
Aesculus hippocastanum;0;0;0;0;0;0;null;null;null;null;null;null;
Ailanthus altissima;75;3;65;2;10;1;1.0000000;0.0200000;0.0000000;0.0166667;0.0333333;0.0000000;
Albizia julibrissin;2;1;2;1;0;0;null;null;null;null;null;null;
Alnus cordata;0;0;0;0;0;0;null;null;null;null;null;null;
Alnus glutinosa;17;2;8;1;9;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0277778;
Arbutus unedo;15;4;9;2;6;2;1.0000000;0.0000000;0.0333333;0.0000000;0.0833333;0.0000000;
Betula pendula;6;3;3;2;3;1;1.0000000;0.0000000;0.0000000;0.1111111;0.0000000;0.0000000;
Betula pubescens;0;0;0;0;0;0;null;null;null;null;null;null;
Betula utilis var. jacquemontii;0;0;0;0;0;0;null;null;null;null;null;null;
