type;image;succes;family;genus;species;plantId;author;FakeRunsAtImageCLEF2012Task/perfectRun.txt;FakeRunsAtImageCLEF2012Task/randomRun_0.txt;FakeRunsAtImageCLEF2012Task/randomRun_1.txt;FakeRunsAtImageCLEF2012Task/randomRun_2.txt;FakeRunsAtImageCLEF2012Task/randomRun_3.txt;FakeRunsAtImageCLEF2012Task/randomRun_4.txt;
TYPE_NAME_PHOTO_ON_STAGE;9715.jpg;1;;;;826;Annick Larbouillat;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;1771.jpg;1;;;;1120;Sebastien Poullot;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;447.jpg;1;;;;218;Tuan Dang;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;1382.jpg;1;;;;20;Maryline Laurans;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;9321.jpg;1;;;;999;Herve Goeau;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;10823.jpg;1;;;;1116;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;11065.jpg;1;;;;96;Herve Goeau;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;9980.jpg;2;;;;1106;Pierre Bonnet;1;0;0;1;0;0;
TYPE_NAME_PHOTO_ON_STAGE;11176.jpg;1;;;;447;Maryline Laurans;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;989.jpg;1;;;;1111;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;4239.jpg;1;;;;1059;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;6124.jpg;1;;;;323;Herve Goeau;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;10869.jpg;1;;;;311;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;10323.jpg;1;;;;1111;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;10581.jpg;1;;;;1111;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;9859.jpg;1;;;;544;Herve Goeau;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;11447.jpg;1;;;;945;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;6656.jpg;1;;;;648;Samuel Dufour;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;11357.jpg;1;;;;794;Maryline Laurans;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;11045.jpg;1;;;;916;Genevieve Botti;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;10802.jpg;1;;;;639;Herve Goeau;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;10582.jpg;1;;;;1098;Samuel Dufour;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;7619.jpg;1;;;;745;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;4902.jpg;1;;;;377;Pierre Couteron;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;3269.jpg;1;;;;164;Michael Belluau;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;7787.jpg;1;;;;811;Herve Goeau;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;2578.jpg;1;;;;311;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;7152.jpg;1;;;;999;Herve Goeau;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;10639.jpg;1;;;;1055;Cecile G;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;3138.jpg;1;;;;528;Alexis Joly;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;1552.jpg;1;;;;639;Herve Goeau;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;10956.jpg;1;;;;359;Pierre Couteron;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;11035.jpg;1;;;;838;Violette Roche;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;387.jpg;1;;;;967;Laetitia Goeau;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;11363.jpg;1;;;;1111;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;10140.jpg;1;;;;392;Herve Goeau;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;6496.jpg;1;;;;945;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;65.jpg;1;;;;849;Samuel Dufour;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;6934.jpg;1;;;;226;Annick Larbouillat;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;2081.jpg;1;;;;864;Cecile G;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;10683.jpg;1;;;;94;Francois Grand;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;3702.jpg;1;;;;708;Annick Larbouillat;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;2496.jpg;1;;;;1048;Herve Goeau;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;8946.jpg;1;;;;823;Michael Belluau;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;11012.jpg;1;;;;708;Annick Larbouillat;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;2099.jpg;1;;;;1017;Daniel Barthelemy;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;6971.jpg;1;;;;549;Annick Larbouillat;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;4618.jpg;1;;;;1033;Daniel Barthelemy;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;11031.jpg;1;;;;944;Pierre Couteron;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;3275.jpg;1;;;;910;Pierre Couteron;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;726.jpg;1;;;;945;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;11393.jpg;1;;;;1105;Herve Goeau;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;14.jpg;1;;;;791;Herve Goeau;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;11198.jpg;1;;;;700;Gregoire Duche;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;7259.jpg;1;;;;1050;Anne Verroust;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;7264.jpg;1;;;;593;Michael Belluau;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;8599.jpg;1;;;;977;Herve Goeau;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;8004.jpg;1;;;;586;Genevieve Botti;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;1893.jpg;1;;;;1106;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;7703.jpg;1;;;;190;Maryline Laurans;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;11017.jpg;1;;;;204;Annick Larbouillat;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;4797.jpg;1;;;;554;Herve Goeau;1;0;0;0;0;0;
