MorphologicalFeature;PictureNumberAll;IndividualPlantNumberAll;PictureNumberTest;IndividualPlantNumberTest;PictureNumberTrain;IndividualPlantNumberTrain;perfectRun_OfficialScore_InverseRank;randomRun_0_OfficialScore_InverseRank;randomRun_1_OfficialScore_InverseRank;randomRun_2_OfficialScore_InverseRank;randomRun_3_OfficialScore_InverseRank;randomRun_4_OfficialScore_InverseRank;
color: dark;2899;153;2146;102;753;51;1.0000000;0.0152195;0.0130748;0.0118142;0.0199711;0.0171022;
color: light;1200;108;840;67;360;41;1.0000000;0.0171095;0.0344948;0.0225550;0.0231101;0.0235452;
lobation: bilobed;55;8;49;7;6;1;1.0000000;0.0000000;0.0293472;0.0223333;0.0046875;0.0076389;
lobation: lobes;1233;115;834;73;399;42;1.0000000;0.0168971;0.0130554;0.0053920;0.0345913;0.0122197;
lobation: no lobes;5397;352;4036;237;1361;115;1.0000000;0.0188715;0.0307080;0.0173584;0.0173410;0.0279754;
lobation: palmately lobed;939;82;660;53;279;29;1.0000000;0.0189409;0.0139462;0.0026461;0.0331870;0.0131465;
lobation: pinnately lobed;294;33;174;20;120;13;1.0000000;0.0114583;0.0094388;0.0348462;0.0302579;0.0127338;
margin: entire;3413;187;2532;130;881;57;1.0000000;0.0161831;0.0331653;0.0148222;0.0173726;0.0278793;
margin: toothed;3507;293;2594;189;913;104;1.0000000;0.0124805;0.0176288;0.0135918;0.0191958;0.0193953;
margin: toothed crenate;1099;96;830;64;269;32;1.0000000;0.0320013;0.0169477;0.0142795;0.0254246;0.0089457;
margin: toothed dentate;1317;112;970;75;347;37;1.0000000;0.0123937;0.0147356;0.0101192;0.0257136;0.0188539;
margin: toothed serrate ;2081;167;1559;111;522;56;1.0000000;0.0220874;0.0198619;0.0158557;0.0173791;0.0223285;
organisation: bipinnately compound;87;3;77;2;10;1;1.0000000;0.0368056;0.0000000;0.0206250;0.0201968;0.0152778;
organisation: compound;921;75;705;51;216;24;1.0000000;0.0106482;0.0141944;0.0107479;0.0242006;0.0127056;
organisation: palmately compound;106;14;86;11;20;3;1.0000000;0.0034213;0.0228175;0.0136637;0.0504370;0.0086186;
organisation: pinnately compound;770;60;574;39;196;21;1.0000000;0.0114500;0.0110339;0.0117162;0.0163958;0.0124483;
organisation: simple;5709;392;4165;259;1544;133;1.0000000;0.0170558;0.0278887;0.0144246;0.0199635;0.0269368;
organisation: trifoliate compound;0;0;0;0;0;0;null;null;null;null;null;null;
shape: asymmetrical;327;20;229;13;98;7;1.0000000;0.0069062;0.0222988;0.0194253;0.0633032;0.0275350;
shape: elliptic;3008;179;2264;119;744;60;1.0000000;0.0230895;0.0120843;0.0199044;0.0202031;0.0179185;
shape: lanceolate;2226;140;1556;94;670;46;1.0000000;0.0173304;0.0259032;0.0133450;0.0125829;0.0427431;
shape: linear;897;26;501;16;396;10;1.0000000;0.0179797;0.0058880;0.0313378;0.0303050;0.0207458;
shape: lobate;1248;117;873;77;375;40;1.0000000;0.0159786;0.0160439;0.0093647;0.0296754;0.0096821;
shape: oboval;1103;80;850;53;253;27;1.0000000;0.0051364;0.0232444;0.0151167;0.0110683;0.0127547;
shape: orbicular;1019;80;700;51;319;29;1.0000000;0.0139224;0.0167417;0.0124769;0.0213927;0.0178374;
stipule;128;11;115;9;13;2;1.0000000;0.0139385;0.0115864;0.0054616;0.0329683;0.0150380;
surface: mate;4444;322;3086;212;1358;110;1.0000000;0.0130101;0.0297051;0.0145039;0.0188735;0.0234142;
surface: shiny;2189;141;1784;96;405;45;1.0000000;0.0252924;0.0113088;0.0126520;0.0177147;0.0202346;
thorn;367;17;285;11;82;6;1.0000000;0.0138094;0.0129790;0.0052768;0.0042114;0.0051601;
venation: arcuate;2460;176;1687;123;773;53;1.0000000;0.0200330;0.0269774;0.0138631;0.0212974;0.0307457;
venation: no;45;1;45;1;0;0;1.0000000;0.0111111;0.0000000;0.0100000;0.0351852;0.0305556;
venation: one main median;825;21;646;14;179;7;1.0000000;0.0317635;0.0054435;0.0316009;0.0212532;0.0124477;
venation: palmate;680;63;462;43;218;20;1.0000000;0.0285146;0.0148137;0.0085246;0.0218935;0.0116588;
venation: parallel;228;23;184;18;44;5;1.0000000;0.0394459;0.0252028;0.0289504;0.0130837;0.0102587;
venation: pinnate;2250;184;1653;122;597;62;1.0000000;0.0105955;0.0210332;0.0119309;0.0134556;0.0229946;
