MorphologicalFeature;PictureNumberAll;IndividualPlantNumberAll;PictureNumberTest;IndividualPlantNumberTest;PictureNumberTrain;IndividualPlantNumberTrain;perfectRun_OfficialScore_InverseRank;randomRun_0_OfficialScore_InverseRank;randomRun_1_OfficialScore_InverseRank;randomRun_2_OfficialScore_InverseRank;randomRun_3_OfficialScore_InverseRank;randomRun_4_OfficialScore_InverseRank;
color: dark;1223;86;847;49;376;37;1.0000000;0.0155498;0.0353109;0.0064616;0.0112544;0.0327211;
color: light;623;37;335;21;288;16;1.0000000;0.0105817;0.0170584;0.0145398;0.0105013;0.0095425;
lobation: bilobed;42;3;35;2;7;1;1.0000000;0.0104167;0.0113636;0.0000000;0.0435606;0.0000000;
lobation: lobes;540;50;357;30;183;20;1.0000000;0.0143950;0.0412563;0.0078375;0.0384036;0.0128526;
lobation: no lobes;2186;153;1462;88;724;65;1.0000000;0.0106757;0.0200287;0.0177922;0.0223571;0.0146632;
lobation: palmately lobed;459;40;311;24;148;16;1.0000000;0.0158871;0.0216722;0.0122474;0.0558262;0.0194754;
lobation: pinnately lobed;81;10;46;6;35;4;1.0000000;0.0069444;0.0519063;0.0092593;0.0104167;0.0098720;
margin: entire;1384;100;922;58;462;42;1.0000000;0.0102392;0.0179929;0.0112897;0.0067645;0.0204296;
margin: toothed;1450;110;979;64;471;46;1.0000000;0.0116516;0.0394222;0.0130519;0.0511554;0.0113203;
margin: toothed crenate;406;35;295;21;111;14;1.0000000;0.0147286;0.0524432;0.0428580;0.0310054;0.0050861;
margin: toothed dentate;562;37;361;22;201;15;1.0000000;0.0120945;0.0036854;0.0172086;0.0220318;0.0106231;
margin: toothed serrate ;681;57;486;33;195;24;1.0000000;0.0104039;0.0307907;0.0051014;0.0868159;0.0185886;
organisation: bipinnately compound;67;5;63;3;4;2;1.0000000;0.0025000;0.0096787;0.0060976;0.0073171;0.0105183;
organisation: compound;520;37;399;22;121;15;1.0000000;0.0117922;0.0288353;0.0210662;0.0116709;0.0274097;
organisation: palmately compound;15;2;10;1;5;1;1.0000000;0.0000000;0.0000000;0.1500000;0.0000000;0.0000000;
organisation: pinnately compound;461;32;346;19;115;13;1.0000000;0.0120357;0.0284050;0.0187472;0.0114107;0.0371006;
organisation: simple;2206;166;1420;96;786;70;1.0000000;0.0119130;0.0335765;0.0108162;0.0315417;0.0095139;
organisation: trifoliate compound;42;2;41;1;1;1;1.0000000;0.0000000;0.0387147;0.0243902;0.0292683;0.0170732;
shape: asymmetrical;215;8;145;5;70;3;1.0000000;0.0342973;0.0065025;0.0246005;0.0193585;0.0038808;
shape: elliptic;1180;86;771;48;409;38;1.0000000;0.0145505;0.0399355;0.0089563;0.0126276;0.0104683;
shape: lanceolate;876;53;520;30;356;23;1.0000000;0.0155743;0.0077717;0.0153511;0.0101960;0.0200417;
shape: linear;370;22;264;13;106;9;1.0000000;0.0111868;0.0124061;0.0101739;0.0077079;0.0196764;
shape: lobate;599;55;399;33;200;22;1.0000000;0.0120985;0.0353434;0.0065549;0.0333234;0.0106285;
shape: oboval;423;32;284;19;139;13;1.0000000;0.0138644;0.0536458;0.0064480;0.0205502;0.0143524;
shape: orbicular;391;28;290;17;101;11;1.0000000;0.0113378;0.0292215;0.0630110;0.1044397;0.0083810;
stipule;30;4;8;2;22;2;1.0000000;0.1666667;0.0000000;0.0000000;0.0000000;0.0000000;
surface: mate;1810;134;1205;79;605;55;1.0000000;0.0075621;0.0174774;0.0123340;0.0264599;0.0154375;
surface: shiny;941;70;641;40;300;30;1.0000000;0.0211097;0.0390020;0.0100751;0.0200804;0.0079214;
thorn;124;10;93;6;31;4;1.0000000;0.0109509;0.0012009;0.0153789;0.0026042;0.0275107;
venation: arcuate;718;72;491;41;227;31;1.0000000;0.0052184;0.0077408;0.0068163;0.0090321;0.0146766;
venation: no;2;1;2;1;0;0;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
venation: one main median;344;17;275;11;69;6;1.0000000;0.0139547;0.0133512;0.0113238;0.0054871;0.0245099;
venation: palmate;238;29;196;19;42;10;1.0000000;0.0030304;0.0286669;0.0026000;0.0600738;0.0225126;
venation: parallel;116;8;82;5;34;3;1.0000000;0.0180494;0.0064123;0.0151515;0.0144616;0.0335173;
venation: pinnate;878;82;642;48;236;34;1.0000000;0.0154041;0.0497130;0.0197248;0.0517171;0.0150932;
