Species;PictureNumberAll;IndividualPlantNumberAll;PictureNumberTest;IndividualPlantNumberTest;PictureNumberTrain;IndividualPlantNumberTrain;perfectRun_OfficialScore_InverseRank;randomRun_0_OfficialScore_InverseRank;randomRun_1_OfficialScore_InverseRank;randomRun_2_OfficialScore_InverseRank;randomRun_3_OfficialScore_InverseRank;randomRun_4_OfficialScore_InverseRank;
Acer campestre;98;14;46;9;52;5;1.0000000;0.0833333;0.0295139;0.0000000;0.0431548;0.0018519;
Acer monspessulanum;99;7;67;6;32;1;1.0000000;0.0644152;0.0013889;0.0009747;0.0059211;0.0149227;
Acer negundo;58;4;38;2;20;2;1.0000000;0.0133053;0.0532213;0.0096289;0.0059524;0.0132353;
Acer opalus;17;3;15;2;2;1;1.0000000;0.0208333;0.0833333;0.0000000;0.0000000;0.0000000;
Acer platanoides;31;4;22;2;9;2;1.0000000;0.0000000;0.0529762;0.0059524;0.0000000;0.0000000;
Acer pseudoplatanus;23;5;14;3;9;2;1.0000000;0.0000000;0.0000000;0.0083333;0.0416667;0.0833333;
Acer saccharinum;24;3;17;2;7;1;1.0000000;0.0000000;0.0138889;0.0208333;0.0208333;0.0142857;
Aesculus hippocastanum;44;8;29;6;15;2;1.0000000;0.0111111;0.0505952;0.0037037;0.0029762;0.0044444;
Ailanthus altissima;0;0;0;0;0;0;null;null;null;null;null;null;
Albizia julibrissin;45;1;45;1;0;0;1.0000000;0.0111111;0.0000000;0.0100000;0.0351852;0.0305556;
Alnus cordata;73;6;39;3;34;3;1.0000000;0.0061728;0.0000000;0.0000000;0.0000000;0.0410053;
Alnus glutinosa;25;3;20;2;5;1;1.0000000;0.0833333;0.0000000;0.0312500;0.0000000;0.0138889;
Arbutus unedo;94;10;75;8;19;2;1.0000000;0.0076937;0.0122076;0.0099232;0.0190972;0.0186723;
Betula pendula;92;8;79;6;13;2;1.0000000;0.0038596;0.0059942;0.0000000;0.0006266;0.0078216;
Betula pubescens;16;2;4;1;12;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Betula utilis var. jacquemontii;26;2;16;1;10;1;1.0000000;0.0000000;0.0625000;0.0000000;0.0000000;0.0000000;
Broussonetia papyrifera;64;2;58;1;6;1;1.0000000;0.0301724;0.0107759;0.0305077;0.0113506;0.0344828;
Buddleja davidii;84;2;75;1;9;1;1.0000000;0.0311111;0.0033333;0.0248889;0.0288889;0.0307937;
Buxus sempervirens;219;5;181;3;38;2;1.0000000;0.0167826;0.0182216;0.0316268;0.0216926;0.0124881;
Capparis spinosa;47;4;26;2;21;2;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Carpinus betulus;70;7;57;4;13;3;1.0000000;0.0153469;0.0075758;0.0057870;0.0277327;0.0227273;
Castanea sativa;96;10;69;8;27;2;1.0000000;0.0036977;0.0204399;0.0135281;0.0016234;0.0255102;
Celtis australis;133;12;63;9;70;3;1.0000000;0.0079365;0.0175737;0.0218537;0.0768141;0.0300454;
Cerasus mahaleb;55;2;49;1;6;1;1.0000000;0.0091837;0.0244898;0.0408163;0.0272109;0.0081633;
Cercis siliquastrum;106;8;69;6;37;2;1.0000000;0.0059795;0.0098684;0.0113385;0.0043860;0.0093080;
Colutea arborescens;14;2;10;1;4;1;1.0000000;0.1000000;0.0000000;0.0000000;0.1000000;0.0000000;
Cornus mas;20;3;10;2;10;1;1.0000000;0.0000000;0.0092593;0.0000000;0.0000000;0.0000000;
Cornus sanguinea;38;5;26;3;12;2;1.0000000;0.0138889;0.0000000;0.0416667;0.0218254;0.0000000;
Corylus avellana;126;15;75;11;51;4;1.0000000;0.0000000;0.0328803;0.0074786;0.0039195;0.0569211;
Cotinus coggygria;82;2;64;1;18;1;1.0000000;0.0026042;0.0000000;0.0287946;0.0174479;0.0356771;
