Species;PictureNumberAll;IndividualPlantNumberAll;PictureNumberTest;IndividualPlantNumberTest;PictureNumberTrain;IndividualPlantNumberTrain;perfectRun_OfficialScore_InverseRank;randomRun_0_OfficialScore_InverseRank;randomRun_1_OfficialScore_InverseRank;randomRun_2_OfficialScore_InverseRank;randomRun_3_OfficialScore_InverseRank;randomRun_4_OfficialScore_InverseRank;
Acer campestre;63;22;50;12;13;10;1.0000000;0.0050000;0.0359524;0.0000000;0.0006944;0.0005952;
Acer monspessulanum;43;6;38;2;5;4;1.0000000;0.0628019;0.0217391;0.0239130;0.0031056;0.0036232;
Acer negundo;2;2;1;1;1;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Acer opalus;10;2;1;1;9;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Acer platanoides;40;20;27;10;13;10;1.0000000;0.0000000;0.1263021;0.0078125;0.0096354;0.0000000;
Acer pseudoplatanus;8;3;3;2;5;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Acer saccharinum;0;0;0;0;0;0;null;null;null;null;null;null;
Aesculus hippocastanum;45;15;34;8;11;7;1.0000000;0.0252747;0.0016667;0.0012363;0.0000000;0.0023504;
Ailanthus altissima;15;10;7;5;8;5;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Albizia julibrissin;30;2;28;1;2;1;1.0000000;0.0051020;0.0586735;0.0178571;0.0059524;0.0071429;
Alnus cordata;0;0;0;0;0;0;null;null;null;null;null;null;
Alnus glutinosa;10;3;3;2;7;1;1.0000000;0.0000000;0.0000000;0.0000000;0.2500000;0.0000000;
Arbutus unedo;38;6;36;4;2;2;1.0000000;0.0000000;0.0000000;0.0196158;0.0474206;0.0133838;
Betula pendula;9;3;6;2;3;1;1.0000000;0.0000000;0.0000000;0.5142857;0.0000000;0.0250000;
Betula pubescens;0;0;0;0;0;0;null;null;null;null;null;null;
Betula utilis var. jacquemontii;0;0;0;0;0;0;null;null;null;null;null;null;
Broussonetia papyrifera;40;3;35;2;5;1;1.0000000;0.0500000;0.0297143;0.0188889;0.0125000;0.0665000;
Buddleja davidii;0;0;0;0;0;0;null;null;null;null;null;null;
Buxus sempervirens;0;0;0;0;0;0;null;null;null;null;null;null;
Capparis spinosa;0;0;0;0;0;0;null;null;null;null;null;null;
Carpinus betulus;9;2;2;1;7;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Castanea sativa;6;2;4;1;2;1;1.0000000;0.0357143;0.0000000;0.0000000;0.0000000;0.0000000;
Celtis australis;66;18;53;10;13;8;1.0000000;0.0025641;0.0075483;0.0020380;0.0000000;0.0030797;
Cerasus mahaleb;0;0;0;0;0;0;null;null;null;null;null;null;
Cercis siliquastrum;102;21;84;11;18;10;1.0000000;0.0079918;0.0081770;0.0797018;0.0203403;0.0056277;
Colutea arborescens;0;0;0;0;0;0;null;null;null;null;null;null;
Cornus mas;6;3;5;2;1;1;1.0000000;0.0312500;0.0000000;0.0000000;0.0625000;0.0000000;
Cornus sanguinea;3;3;2;2;1;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Corylus avellana;61;10;49;5;12;5;1.0000000;0.0018519;0.0083322;0.0013228;0.0084673;0.0138889;
Cotinus coggygria;26;7;21;4;5;3;1.0000000;0.0016340;0.0459559;0.0625000;0.0073529;0.0000000;
Crataegus azarolus;43;1;43;1;0;0;1.0000000;0.0153101;0.0620155;0.0046512;0.0348837;0.0193798;
Crataegus laevigata;0;0;0;0;0;0;null;null;null;null;null;null;
Crataegus monogyna;63;15;54;8;9;7;1.0000000;0.0134921;0.0693723;0.0000000;0.0026515;0.0000000;
Daphne cneorum;0;0;0;0;0;0;null;null;null;null;null;null;
Diospyros kaki;40;10;34;5;6;5;1.0000000;0.0128079;0.0017241;0.2500000;0.0017241;0.0017241;
Elaeagnus angustifolia;0;0;0;0;0;0;null;null;null;null;null;null;
Eriobotrya japonica;43;4;41;3;2;1;1.0000000;0.0661509;0.0059524;0.0416667;0.1385870;0.0269798;
Euonymus europaeus;0;0;0;0;0;0;null;null;null;null;null;null;
Euonymus latifolius;1;1;1;1;0;0;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Euphorbia characias;0;0;0;0;0;0;null;null;null;null;null;null;
Fagus sylvatica;9;4;6;2;3;2;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0555556;
Ficus carica;28;4;17;3;11;1;1.0000000;0.0375000;0.0160256;0.1038462;0.0024038;0.0000000;
Frangula dodonei;0;0;0;0;0;0;null;null;null;null;null;null;
Fraxinus angustifolia;38;5;35;3;3;2;1.0000000;0.1319444;0.0010417;0.0013889;0.0020833;0.0034722;
Fraxinus excelsior;13;5;9;3;4;2;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Fraxinus ornus;30;8;25;4;5;4;1.0000000;0.0238095;0.0013228;0.0000000;0.0000000;0.0892857;
Ginkgo biloba;63;5;61;3;2;2;1.0000000;0.0050000;0.0029167;0.0050000;0.0091667;0.0101667;
Gleditsia triacanthos;8;5;6;3;2;2;1.0000000;0.0000000;0.1666667;0.0000000;0.0000000;0.0000000;
Hedera helix;65;7;27;4;38;3;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Ilex aquifolium;48;10;40;5;8;5;1.0000000;0.0000000;0.0000000;0.0047619;0.0645833;0.0500000;
Juglans nigra;11;2;6;1;5;1;1.0000000;0.0000000;0.0833333;0.0000000;0.0000000;0.0000000;
Juglans regia;7;2;2;1;5;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Juniperus oxycedrus;0;0;0;0;0;0;null;null;null;null;null;null;
Koelreuteria paniculata;0;0;0;0;0;0;null;null;null;null;null;null;
Laburnum anagyroides;9;3;8;2;1;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Laurus nobilis;78;14;57;7;21;7;1.0000000;0.1018519;0.0007576;0.2507576;0.0024038;0.0438763;
Ligustrum vulgare;0;0;0;0;0;0;null;null;null;null;null;null;
Liquidambar styraciflua;0;0;0;0;0;0;null;null;null;null;null;null;
Liriodendron tulipifera;0;0;0;0;0;0;null;null;null;null;null;null;
Magnolia grandiflora;51;12;41;6;10;6;1.0000000;0.0005000;0.0033333;0.0010000;0.0260000;0.0037566;
Malus sylvestris;0;0;0;0;0;0;null;null;null;null;null;null;
Melia azedarach;7;2;6;1;1;1;1.0000000;0.0333333;0.0000000;0.0000000;0.0000000;0.0000000;
Mespilus germanica;10;2;1;1;9;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Morus alba;0;0;0;0;0;0;null;null;null;null;null;null;
Morus nigra;0;0;0;0;0;0;null;null;null;null;null;null;
Nerium oleander;86;26;71;14;15;12;1.0000000;0.0005051;0.0006331;0.0213384;0.0010417;0.0098485;
Olea europaea;47;12;36;6;11;6;1.0000000;0.0014881;0.0946759;0.0107639;0.0138889;0.0135582;
Ostrya carpinifolia;0;0;0;0;0;0;null;null;null;null;null;null;
Paliurus spina-christi;0;0;0;0;0;0;null;null;null;null;null;null;
Phillyrea angustifolia;0;0;0;0;0;0;null;null;null;null;null;null;
Photinia serrulata;0;0;0;0;0;0;null;null;null;null;null;null;
Pistacia lentiscus;67;8;56;4;11;4;1.0000000;0.0030525;0.0019943;0.0594551;0.0021368;0.0008013;
Pistacia terebinthus;43;5;36;2;7;3;1.0000000;0.0142857;0.0171429;0.0000000;0.0020408;0.0163265;
Pittosporum tenuifolium;0;0;0;0;0;0;null;null;null;null;null;null;
Pittosporum tobira;137;8;102;4;35;4;1.0000000;0.0195284;0.0219009;0.0118634;0.0319937;0.0074046;
Platanus x hispanica;58;16;46;9;12;7;1.0000000;0.0000000;0.0037879;0.0000000;0.0000000;0.0044981;
Populus alba;0;0;0;0;0;0;null;null;null;null;null;null;
Populus nigra;0;0;0;0;0;0;null;null;null;null;null;null;
Populus tremula;0;0;0;0;0;0;null;null;null;null;null;null;
Populus trichocarpa;0;0;0;0;0;0;null;null;null;null;null;null;
Prunus avium;0;0;0;0;0;0;null;null;null;null;null;null;
Prunus dulcis;0;0;0;0;0;0;null;null;null;null;null;null;
Prunus laurocerasus;4;2;3;1;1;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Prunus padus;0;0;0;0;0;0;null;null;null;null;null;null;
Prunus serotina;0;0;0;0;0;0;null;null;null;null;null;null;
Prunus serrulata;6;2;3;1;3;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Prunus spinosa;0;0;0;0;0;0;null;null;null;null;null;null;
Punica granatum;28;5;22;3;6;2;1.0000000;0.0666667;0.0222222;0.0476190;0.1666667;0.0555556;
Pyrus nivalis;2;1;2;1;0;0;1.0000000;0.0625000;0.5000000;0.0000000;0.0000000;0.0000000;
Quercus cerris;0;0;0;0;0;0;null;null;null;null;null;null;
Quercus coccifera;27;3;24;2;3;1;1.0000000;0.0248447;0.0615942;0.2608696;0.0298913;0.0043478;
