Species;PictureNumberAll;IndividualPlantNumberAll;PictureNumberTest;IndividualPlantNumberTest;PictureNumberTrain;IndividualPlantNumberTrain;perfectRun_OfficialScore_InverseRank;randomRun_0_OfficialScore_InverseRank;randomRun_1_OfficialScore_InverseRank;randomRun_2_OfficialScore_InverseRank;randomRun_3_OfficialScore_InverseRank;randomRun_4_OfficialScore_InverseRank;
Acer campestre;22;4;21;3;1;1;1.0000000;0.0370370;0.0075758;0.0134680;0.0000000;0.0303030;
Acer monspessulanum;32;4;21;2;11;2;1.0000000;0.0000000;0.0500000;0.0131579;0.0337719;0.0043860;
Acer negundo;37;2;26;1;11;1;1.0000000;0.0384615;0.0000000;0.0000000;0.0128205;0.0064103;
Acer opalus;33;2;27;1;6;1;1.0000000;0.0277778;0.0740741;0.0046296;0.0000000;0.0000000;
Acer platanoides;20;3;19;2;1;1;1.0000000;0.0000000;0.0050505;0.0151515;0.0156250;0.0140693;
Acer pseudoplatanus;6;2;4;1;2;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Acer saccharinum;0;0;0;0;0;0;null;null;null;null;null;null;
Aesculus hippocastanum;0;0;0;0;0;0;null;null;null;null;null;null;
Ailanthus altissima;75;3;65;2;10;1;1.0000000;0.0032680;0.0121148;0.0098039;0.0119048;0.0000000;
Albizia julibrissin;2;1;2;1;0;0;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Alnus cordata;0;0;0;0;0;0;null;null;null;null;null;null;
Alnus glutinosa;17;2;8;1;9;1;1.0000000;0.0000000;0.0625000;0.1875000;0.0000000;0.0000000;
Arbutus unedo;15;4;9;2;6;2;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Betula pendula;6;3;3;2;3;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Betula pubescens;0;0;0;0;0;0;null;null;null;null;null;null;
Betula utilis var. jacquemontii;0;0;0;0;0;0;null;null;null;null;null;null;
Broussonetia papyrifera;26;2;12;1;14;1;1.0000000;0.0416667;0.0000000;0.0000000;0.0138889;0.0208333;
Buddleja davidii;38;2;24;1;14;1;1.0000000;0.0000000;0.0416667;0.0069444;0.0000000;0.0763889;
Buxus sempervirens;78;3;68;2;10;1;1.0000000;0.0291667;0.0241319;0.0107639;0.0337798;0.0144097;
Capparis spinosa;12;1;12;1;0;0;1.0000000;0.0000000;0.0416667;0.0000000;0.0000000;0.0486111;
Carpinus betulus;25;2;14;1;11;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0238095;0.0476190;
Castanea sativa;3;2;1;1;2;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Celtis australis;37;4;32;3;5;1;1.0000000;0.0476190;0.0021645;0.0208333;0.0113636;0.0000000;
Cerasus mahaleb;0;0;0;0;0;0;null;null;null;null;null;null;
Cercis siliquastrum;20;3;12;2;8;1;1.0000000;0.0000000;0.0113636;0.0050505;0.0151515;0.0064935;
Colutea arborescens;0;0;0;0;0;0;null;null;null;null;null;null;
Cornus mas;45;2;35;1;10;1;1.0000000;0.0326531;0.0285714;0.0000000;0.0285714;0.0257143;
Cornus sanguinea;28;2;11;1;17;1;1.0000000;0.0227273;0.0000000;0.0303030;0.0000000;0.0606061;
Corylus avellana;9;4;4;2;5;2;1.0000000;0.0000000;0.0000000;0.0333333;0.5833333;0.0000000;
Cotinus coggygria;62;3;54;2;8;1;1.0000000;0.0124631;0.0240000;0.0279885;0.0233333;0.0034483;
Crataegus azarolus;0;0;0;0;0;0;null;null;null;null;null;null;
Crataegus laevigata;17;2;7;1;10;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Crataegus monogyna;13;2;1;1;12;1;1.0000000;0.3333333;0.0000000;0.0000000;0.0000000;0.0000000;
Daphne cneorum;73;3;64;2;9;1;1.0000000;0.0092593;0.0349206;0.0274140;0.0023148;0.0030864;
Diospyros kaki;41;4;37;2;4;2;1.0000000;0.0116667;0.0338889;0.0714286;0.0714286;0.0200000;
Elaeagnus angustifolia;11;2;1;1;10;1;1.0000000;0.0000000;0.1250000;0.0000000;0.0000000;0.0000000;
Eriobotrya japonica;18;2;16;1;2;1;1.0000000;0.0625000;0.0000000;0.0000000;0.0000000;0.0125000;
Euonymus europaeus;0;0;0;0;0;0;null;null;null;null;null;null;
Euonymus latifolius;0;0;0;0;0;0;null;null;null;null;null;null;
Euphorbia characias;117;3;96;2;21;1;1.0000000;0.0173060;0.0184965;0.0147629;0.0023148;0.0134480;
Fagus sylvatica;29;2;21;1;8;1;1.0000000;0.0277778;0.0052910;0.0793651;0.0000000;0.0436508;
Ficus carica;35;3;34;2;1;1;1.0000000;0.0000000;0.0000000;0.0032895;0.0500000;0.0000000;
Frangula dodonei;0;0;0;0;0;0;null;null;null;null;null;null;
Fraxinus angustifolia;21;2;17;1;4;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0901961;
Fraxinus excelsior;12;2;6;1;6;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Fraxinus ornus;0;0;0;0;0;0;null;null;null;null;null;null;
Ginkgo biloba;42;3;35;2;7;1;1.0000000;0.0104167;0.0113636;0.0000000;0.0435606;0.0000000;
Gleditsia triacanthos;23;2;20;1;3;1;1.0000000;0.0100000;0.0000000;0.0000000;0.0000000;0.0250000;
Hedera helix;50;4;28;2;22;2;1.0000000;0.0277778;0.0236111;0.0039683;0.0000000;0.0000000;
Ilex aquifolium;33;3;29;2;4;1;1.0000000;0.0240385;0.0000000;0.0038462;0.0000000;0.0096154;
Juglans nigra;25;2;22;1;3;1;1.0000000;0.0000000;0.0064935;0.0166667;0.0000000;0.0050505;
Juglans regia;0;0;0;0;0;0;null;null;null;null;null;null;
Juniperus oxycedrus;34;2;16;1;18;1;1.0000000;0.0208333;0.0000000;0.0208333;0.0000000;0.0625000;
Koelreuteria paniculata;0;0;0;0;0;0;null;null;null;null;null;null;
Laburnum anagyroides;5;2;3;1;2;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.2777778;
Laurus nobilis;19;2;16;1;3;1;1.0000000;0.0208333;0.0000000;0.0000000;0.0000000;0.0000000;
Ligustrum vulgare;11;2;1;1;10;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Liquidambar styraciflua;16;2;10;1;6;1;1.0000000;0.0000000;0.1000000;0.0000000;0.1250000;0.0500000;
Liriodendron tulipifera;14;2;9;1;5;1;1.0000000;0.0000000;0.0370370;0.0000000;0.0000000;0.0370370;
Magnolia grandiflora;25;2;11;1;14;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Malus sylvestris;0;0;0;0;0;0;null;null;null;null;null;null;
Melia azedarach;42;2;41;1;1;1;1.0000000;0.0000000;0.0387147;0.0243902;0.0292683;0.0170732;
Mespilus germanica;0;0;0;0;0;0;null;null;null;null;null;null;
Morus alba;39;3;36;2;3;1;1.0000000;0.0353261;0.0192308;0.0070652;0.0072464;0.0120401;
Morus nigra;0;0;0;0;0;0;null;null;null;null;null;null;
Nerium oleander;23;4;20;3;3;1;1.0000000;0.0059524;0.0000000;0.0000000;0.0000000;0.0416667;
Olea europaea;19;2;11;1;8;1;1.0000000;0.0181818;0.0181818;0.0181818;0.0000000;0.0000000;
Ostrya carpinifolia;0;0;0;0;0;0;null;null;null;null;null;null;
Paliurus spina-christi;1;1;1;1;0;0;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Phillyrea angustifolia;86;6;49;3;37;3;1.0000000;0.0115597;0.0122150;0.0058480;0.0087719;0.0024155;
Photinia serrulata;19;2;7;1;12;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Pistacia lentiscus;26;2;20;1;6;1;1.0000000;0.0000000;0.0350000;0.0083333;0.0350000;0.0000000;
Pistacia terebinthus;13;3;10;2;3;1;1.0000000;0.0185185;0.0000000;0.0416667;0.0092593;0.0092593;
Pittosporum tenuifolium;27;2;13;1;14;1;1.0000000;0.0769231;0.0000000;0.0000000;0.0000000;0.0000000;
Pittosporum tobira;29;2;11;1;18;1;1.0000000;0.0000000;0.0000000;0.0129870;0.0303030;0.0363636;
Platanus x hispanica;31;4;25;3;6;1;1.0000000;0.0183532;0.0000000;0.0122355;0.0385417;0.1666667;
Populus alba;91;2;44;1;47;1;1.0000000;0.0159091;0.0284091;0.0518939;0.0227273;0.0265152;
Populus nigra;97;3;62;2;35;1;1.0000000;0.0289382;0.0235135;0.0101351;0.0067568;0.0095045;
Populus tremula;0;0;0;0;0;0;null;null;null;null;null;null;
Populus trichocarpa;0;0;0;0;0;0;null;null;null;null;null;null;
Prunus avium;20;3;15;2;5;1;1.0000000;0.1203704;0.0277778;0.0061728;0.0069444;0.0277778;
Prunus dulcis;18;2;8;1;10;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0625000;0.0625000;
Prunus laurocerasus;27;2;8;1;19;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0138889;
Prunus padus;0;0;0;0;0;0;null;null;null;null;null;null;
Prunus serotina;0;0;0;0;0;0;null;null;null;null;null;null;
Prunus serrulata;0;0;0;0;0;0;null;null;null;null;null;null;
Prunus spinosa;0;0;0;0;0;0;null;null;null;null;null;null;
Punica granatum;57;2;30;1;27;1;1.0000000;0.0288889;0.0000000;0.0333333;0.0370370;0.0000000;
