type;image;succes;family;genus;species;plantId;author;FakeRunsTestAndTrainDatasetSwitched/perfectRun.txt;FakeRunsTestAndTrainDatasetSwitched/randomRun_0.txt;FakeRunsTestAndTrainDatasetSwitched/randomRun_1.txt;FakeRunsTestAndTrainDatasetSwitched/randomRun_2.txt;FakeRunsTestAndTrainDatasetSwitched/randomRun_3.txt;FakeRunsTestAndTrainDatasetSwitched/randomRun_4.txt;
TYPE_NAME_PHOTO_ON_STAGE;2415.jpg;1;;;;240;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;3983.jpg;1;;;;67;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;23.jpg;2;;;;387;Pierre Bonnet;1;0;0;0;0;1;
TYPE_NAME_PHOTO_ON_STAGE;6044.jpg;1;;;;236;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;1671.jpg;1;;;;405;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;7067.jpg;1;;;;797;Daniel Barthelemy;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;4111.jpg;1;;;;101;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;9322.jpg;1;;;;67;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;734.jpg;1;;;;278;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;1679.jpg;1;;;;160;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;9539.jpg;1;;;;758;Daniel Barthelemy;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;8083.jpg;1;;;;405;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;2263.jpg;1;;;;268;Daniel Barthelemy;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;1381.jpg;1;;;;437;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;164.jpg;1;;;;33;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;5928.jpg;1;;;;389;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;10016.jpg;1;;;;257;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;4847.jpg;1;;;;225;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;3226.jpg;1;;;;196;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;10217.jpg;1;;;;26;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;4044.jpg;1;;;;162;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;7153.jpg;1;;;;881;Gregoire Duche;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;4669.jpg;1;;;;26;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;7006.jpg;1;;;;33;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;3473.jpg;2;;;;162;Pierre Bonnet;1;0;0;0;0;1;
TYPE_NAME_PHOTO_ON_STAGE;4915.jpg;1;;;;597;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;1350.jpg;1;;;;742;Daniel Barthelemy;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;9490.jpg;1;;;;348;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;3295.jpg;1;;;;236;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;1816.jpg;1;;;;47;Daniel Barthelemy;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;7965.jpg;1;;;;71;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;3908.jpg;1;;;;433;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;2810.jpg;1;;;;266;Daniel Barthelemy;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;9799.jpg;1;;;;533;Daniel Barthelemy;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;1299.jpg;1;;;;260;Daniel Barthelemy;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;2354.jpg;1;;;;149;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;3144.jpg;1;;;;638;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;3288.jpg;1;;;;101;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;9746.jpg;1;;;;257;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;1482.jpg;2;;;;16;Pierre Bonnet;1;0;1;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;3721.jpg;1;;;;371;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;1435.jpg;1;;;;924;Daniel Barthelemy;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;510.jpg;1;;;;260;Daniel Barthelemy;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;9352.jpg;1;;;;196;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;9334.jpg;1;;;;18;Maryline Laurans;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;1187.jpg;1;;;;88;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;130.jpg;1;;;;132;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;578.jpg;1;;;;16;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;2677.jpg;1;;;;67;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;6069.jpg;1;;;;272;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;2713.jpg;1;;;;379;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;3811.jpg;1;;;;665;Daniel Barthelemy;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;6752.jpg;1;;;;533;Daniel Barthelemy;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;274.jpg;1;;;;504;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;4171.jpg;1;;;;67;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;7110.jpg;1;;;;44;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;1016.jpg;1;;;;149;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;10095.jpg;1;;;;300;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;2122.jpg;1;;;;73;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;2083.jpg;1;;;;26;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;6500.jpg;1;;;;260;Daniel Barthelemy;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;8021.jpg;1;;;;480;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;261.jpg;1;;;;613;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;1827.jpg;2;;;;309;Pierre Bonnet;1;1;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;9094.jpg;1;;;;16;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;219.jpg;1;;;;71;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;4301.jpg;1;;;;357;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;6010.jpg;1;;;;519;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;818.jpg;1;;;;925;Herve Goeau;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;10246.jpg;1;;;;433;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;4745.jpg;1;;;;260;Daniel Barthelemy;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;7252.jpg;1;;;;260;Daniel Barthelemy;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;1265.jpg;1;;;;67;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;8912.jpg;1;;;;724;Genevieve Botti;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;87.jpg;1;;;;265;Daniel Barthelemy;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;6248.jpg;1;;;;450;Daniel Barthelemy;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;8487.jpg;1;;;;324;Herve Goeau;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;3961.jpg;1;;;;625;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;6817.jpg;1;;;;309;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;2602.jpg;1;;;;846;Daniel Barthelemy;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;9549.jpg;1;;;;300;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;5749.jpg;1;;;;67;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;7528.jpg;1;;;;613;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;2901.jpg;1;;;;881;Gregoire Duche;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;891.jpg;1;;;;480;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;9148.jpg;1;;;;44;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;8544.jpg;1;;;;199;Daniel Barthelemy;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;9284.jpg;1;;;;44;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;561.jpg;1;;;;385;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;2935.jpg;1;;;;758;Daniel Barthelemy;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;750.jpg;1;;;;355;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;3201.jpg;1;;;;263;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;8312.jpg;1;;;;101;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;923.jpg;1;;;;187;Herve Goeau;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;8531.jpg;2;;;;789;Herve Goeau;1;0;1;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;8726.jpg;1;;;;880;Samuel Dufour;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;5070.jpg;1;;;;88;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;4383.jpg;1;;;;101;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;6022.jpg;1;;;;67;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;7127.jpg;2;;;;773;Samuel Dufour;1;0;0;1;0;0;
TYPE_NAME_PHOTO_ON_STAGE;9839.jpg;1;;;;266;Daniel Barthelemy;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;7520.jpg;1;;;;332;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;5415.jpg;1;;;;986;Michael Belluau;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;1849.jpg;1;;;;263;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;8892.jpg;1;;;;348;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;6733.jpg;1;;;;57;Jean-Francois Molino;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;916.jpg;2;;;;109;Pierre Bonnet;1;0;0;0;0;1;
TYPE_NAME_PHOTO_ON_STAGE;6451.jpg;1;;;;385;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;3052.jpg;1;;;;7;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;6698.jpg;1;;;;722;Pierre Couteron;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;3000.jpg;1;;;;302;Daniel Barthelemy;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;3426.jpg;1;;;;260;Daniel Barthelemy;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;7738.jpg;1;;;;433;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;1071.jpg;1;;;;260;Daniel Barthelemy;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;6782.jpg;1;;;;493;Herve Goeau;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;1888.jpg;1;;;;225;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;3586.jpg;1;;;;278;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;320.jpg;1;;;;385;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;1010.jpg;1;;;;786;Gregoire Duche;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;2178.jpg;1;;;;294;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;6019.jpg;1;;;;260;Daniel Barthelemy;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;2614.jpg;1;;;;169;Daniel Barthelemy;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;294.jpg;1;;;;424;Daniel Barthelemy;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;6639.jpg;1;;;;416;Pierre Bonnet;1;0;0;0;0;0;
TYPE_NAME_PHOTO_ON_STAGE;665.jpg;1;;;;44;Pierre Bonnet;1;0;0;0;0;0;
