MorphologicalFeature;PictureNumberTest;IndividualPlantNumberTest;PictureNumberAll;IndividualPlantNumberAll;PictureNumberTrain;IndividualPlantNumberTrain;1338909159599__artelab-gallo-run_OfficialScore_InverseRank;1339772364611__LIRIS_run_00_OfficialScore_InverseRank;1340331426139__ZhaoHFUT_run1_OfficialScore_InverseRank;1340331843469__ZhaoHFUT_run2_OfficialScore_InverseRank;1340332545702__ZhaoHFUT_run3_OfficialScore_InverseRank;1340355500493__results_cdd_plants2012_lpq_spyr_OfficialScore_InverseRank;1340355731188__result_latefusion_OfficialScore_InverseRank;1340442006232__result_latefusion1_OfficialScore_InverseRank;1340621173682__dbis_format_run01_visual_gps_qbe_204627_OfficialScore_InverseRank;1340621257880__dbis_format_run02_visual_qbe_998879_OfficialScore_InverseRank;1340646105047__IFSC USP_run1_OfficialScore_InverseRank;1340646169213__IFSC USP_run2_OfficialScore_InverseRank;1340800216179__run-imedia-comb_matching_form-seg_filt_romb_OfficialScore_InverseRank;1340914029811__Sabanci_Okan_run1_OfficialScore_InverseRank;1340914195368__Sabanci_Okan_run1_PhotosWithManuelSegm_OfficialScore_InverseRank;1340954813845__dbis_format_run04_clustering_visual_gps_OfficialScore_InverseRank;1340963576839__LirisReVeS_run2_OfficialScore_InverseRank;1340967474781__LIRIS_run_01_OfficialScore_InverseRank;1340969891703__dbis_format_run03_visual_gps_qbe_topk_150_250_OfficialScore_InverseRank;1340978702513__IFSC USP_run3_OfficialScore_InverseRank;1340981884347__run-imedia-shape_context-seg_romb_OfficialScore_InverseRank;1341060086533__thewho_run1_OfficialScore_InverseRank;1341067956101__RMIT_run1_OfficialScore_InverseRank;1341067995504__thewho_run2_OfficialScore_InverseRank;1341068124404__RMIT_run3_OfficialScore_InverseRank;1341068182642__RMIT_run2_OfficialScore_InverseRank;1341076598230__thewho_run3_OfficialScore_InverseRank;1341086902847__thewho_run4_OfficialScore_InverseRank;1341325862488__brainsignals_run1_OfficialScore_InverseRank;1341413130673__run-imedia-3_OfficialScore_InverseRank;
color: dark;753;51;2899;153;2146;102;0.4450708;0.2183515;0.3375677;0.2840376;0.3580171;0.3223263;0.3509151;0.3957529;0.3293828;0.2976300;0.4417922;0.4229355;0.4587466;0.6042217;0.6042217;0.2510973;0.2191578;0.4202066;0.2837897;0.2377121;0.3619741;0.3844259;0.0000000;0.3363819;0.0139652;0.0000000;0.3904279;0.3850312;0.3026556;0.4569320;
color: light;360;41;1200;108;840;67;0.4342854;0.2980436;0.3310739;0.2464307;0.3285642;0.3936327;0.3917226;0.4865062;0.2557073;0.2582567;0.3615465;0.2611123;0.5705823;0.6116092;0.6116092;0.2455035;0.2479660;0.5198493;0.2674497;0.2296955;0.5066475;0.4492956;0.0000000;0.3447466;0.0156250;0.0000000;0.5295276;0.4656762;0.2509718;0.4821741;
lobation: bilobed;6;1;55;8;49;7;0.3583333;0.0000000;0.3803503;0.3051438;0.4484611;0.8333333;1.0000000;1.0000000;0.0463841;0.0608070;0.3607041;0.5613054;0.4861111;0.6404762;0.6404762;0.0986111;0.2222222;0.0000000;0.0417368;0.0528506;0.9166667;0.2472222;0.0000000;0.1203704;0.0000000;0.0000000;0.7222222;0.2694444;0.8333333;0.2212266;
lobation: lobes;399;42;1233;115;834;73;0.4703823;0.4069525;0.3190255;0.2117167;0.3531049;0.4028055;0.4168512;0.5419102;0.2679123;0.3136981;0.4407561;0.4088916;0.5883129;0.6733150;0.6733150;0.2062383;0.1292497;0.5394972;0.2861502;0.2059900;0.5149731;0.4464764;0.0000000;0.3337515;0.0112083;0.0000000;0.5347114;0.4736464;0.2818698;0.4850237;
lobation: no lobes;1361;115;5397;352;4036;237;0.4028411;0.2914347;0.3090691;0.2419118;0.3163601;0.3095356;0.3366326;0.3946199;0.2632517;0.2733955;0.3280654;0.3074607;0.5114569;0.5886139;0.5886139;0.2292609;0.2520648;0.3917003;0.2365156;0.1975749;0.3707271;0.3759731;0.0000000;0.3191057;0.0079088;0.0000000;0.4293706;0.3715133;0.2543588;0.5152836;
lobation: palmately lobed;279;29;939;82;660;53;0.5841638;0.3948286;0.3956293;0.2660966;0.4373112;0.3714754;0.4168710;0.5919033;0.2846966;0.3429127;0.5322005;0.5096374;0.7325726;0.7900349;0.7900349;0.2134899;0.1295957;0.6312115;0.3013351;0.2259865;0.4813934;0.4977171;0.0000000;0.3664487;0.0194196;0.0000000;0.6165447;0.5365936;0.3714007;0.5864841;
lobation: pinnately lobed;120;13;294;33;174;20;0.1535241;0.2183061;0.0964369;0.0529162;0.1093515;0.3525868;0.3227736;0.3239683;0.1286370;0.1607687;0.2033382;0.1087631;0.2348531;0.2991408;0.2991408;0.1448920;0.0808214;0.1944802;0.1682205;0.1089637;0.4968944;0.2312768;0.0000000;0.1684016;0.0000000;0.0000000;0.2678379;0.2452582;0.0626170;0.1664249;
margin: entire;881;57;3413;187;2532;130;0.4081622;0.1789203;0.3452305;0.2525061;0.3475099;0.3557132;0.3979538;0.4376399;0.3125137;0.2852488;0.4507414;0.4026462;0.4640756;0.5537568;0.5537568;0.2655450;0.2325403;0.3478932;0.2629326;0.2369680;0.3784545;0.3667354;0.0000000;0.3186255;0.0000000;0.0000000;0.3863845;0.3614602;0.3044786;0.4135711;
margin: toothed;913;104;3507;293;2594;189;0.4587661;0.4416406;0.3138634;0.2424026;0.3559975;0.3858460;0.4096231;0.4908824;0.2377414;0.3069159;0.3721236;0.3410005;0.6208293;0.6492066;0.6492066;0.2058735;0.1878381;0.4818728;0.2654268;0.2039021;0.4629883;0.4162045;0.0000000;0.3399078;0.0170270;0.0000000;0.4977542;0.4197240;0.2787857;0.5693882;
margin: toothed crenate;269;32;1099;96;830;64;0.3633595;0.4011385;0.2698384;0.1857123;0.2766821;0.2134390;0.2613392;0.3986202;0.1052271;0.1468521;0.2352961;0.2205342;0.6332840;0.6634357;0.6634357;0.0792119;0.2008402;0.5136048;0.1169748;0.0795361;0.3587417;0.4003820;0.0000000;0.2773501;0.0000000;0.0000000;0.5163972;0.4139535;0.1871739;0.6656014;
