MorphologicalFeature;PictureNumberTest;IndividualPlantNumberTest;PictureNumberAll;IndividualPlantNumberAll;PictureNumberTrain;IndividualPlantNumberTrain;1338909159599__artelab-gallo-run_OfficialScore_InverseRank;1339772364611__LIRIS_run_00_OfficialScore_InverseRank;1340331426139__ZhaoHFUT_run1_OfficialScore_InverseRank;1340331843469__ZhaoHFUT_run2_OfficialScore_InverseRank;1340332545702__ZhaoHFUT_run3_OfficialScore_InverseRank;1340355500493__results_cdd_plants2012_lpq_spyr_OfficialScore_InverseRank;1340355731188__result_latefusion_OfficialScore_InverseRank;1340442006232__result_latefusion1_OfficialScore_InverseRank;1340621173682__dbis_format_run01_visual_gps_qbe_204627_OfficialScore_InverseRank;1340621257880__dbis_format_run02_visual_qbe_998879_OfficialScore_InverseRank;1340646105047__IFSC USP_run1_OfficialScore_InverseRank;1340646169213__IFSC USP_run2_OfficialScore_InverseRank;1340800216179__run-imedia-comb_matching_form-seg_filt_romb_OfficialScore_InverseRank;1340914029811__Sabanci_Okan_run1_OfficialScore_InverseRank;1340914195368__Sabanci_Okan_run1_PhotosWithManuelSegm_OfficialScore_InverseRank;1340954813845__dbis_format_run04_clustering_visual_gps_OfficialScore_InverseRank;1340963576839__LirisReVeS_run2_OfficialScore_InverseRank;1340967474781__LIRIS_run_01_OfficialScore_InverseRank;1340969891703__dbis_format_run03_visual_gps_qbe_topk_150_250_OfficialScore_InverseRank;1340978702513__IFSC USP_run3_OfficialScore_InverseRank;1340981884347__run-imedia-shape_context-seg_romb_OfficialScore_InverseRank;1341060086533__thewho_run1_OfficialScore_InverseRank;1341067956101__RMIT_run1_OfficialScore_InverseRank;1341067995504__thewho_run2_OfficialScore_InverseRank;1341068124404__RMIT_run3_OfficialScore_InverseRank;1341068182642__RMIT_run2_OfficialScore_InverseRank;1341076598230__thewho_run3_OfficialScore_InverseRank;1341086902847__thewho_run4_OfficialScore_InverseRank;1341325862488__brainsignals_run1_OfficialScore_InverseRank;1341413130673__run-imedia-3_OfficialScore_InverseRank;
color: dark;208;91;928;192;720;101;0.1031341;0.1757526;0.1022643;0.0712038;0.1120982;0.1806464;0.2505489;0.2774085;0.1484459;0.1554384;0.4469206;0.2904081;0.1717618;0.1454219;0.2761926;0.1382393;0.0863053;0.2723952;0.1332110;0.0718962;0.2188818;0.3940466;0.0075188;0.2051824;0.0000000;0.0000000;0.4600287;0.3878884;0.0513614;0.1278503;
color: light;53;27;175;60;122;33;0.0192308;0.1617466;0.0773816;0.0775610;0.0984486;0.0757151;0.0893272;0.0989217;0.1055184;0.0835855;0.4140037;0.2106880;0.0915501;0.2126603;0.2087581;0.1779891;0.0023504;0.3482699;0.1918747;0.1285137;0.1828755;0.3961945;0.0000000;0.2301460;0.0000000;0.0000000;0.4168447;0.4154304;0.0000000;0.1034478;
lobation: bilobed;2;2;63;5;61;3;0.1250000;1.0000000;0.0472689;0.2549020;0.5072464;0.0187166;0.0154700;0.1788618;0.0442308;0.0348039;0.1185185;0.0555556;0.0000000;0.5000000;0.0833333;0.0272401;0.0000000;1.0000000;0.0311355;0.0317308;0.3500000;0.2166667;0.0000000;0.0000000;0.0000000;0.0000000;0.3750000;0.1339286;0.0000000;0.3333333;
lobation: lobes;135;48;522;107;387;59;0.0391467;0.2680788;0.0650444;0.0661520;0.0703951;0.1377382;0.1602699;0.2036928;0.0851611;0.0848768;0.6292392;0.3167611;0.2271644;0.3152253;0.2627202;0.0853065;0.0334573;0.4950491;0.1227797;0.1438180;0.1963679;0.6155957;0.0000000;0.3100287;0.0000000;0.0000000;0.6541325;0.5786662;0.0000000;0.1087685;
lobation: no lobes;348;165;1694;359;1346;194;0.1605396;0.1677687;0.1020176;0.0998176;0.1312878;0.2554663;0.3214999;0.3466263;0.1737531;0.1883365;0.4811514;0.3053374;0.2195363;0.1447116;0.2221805;0.1377502;0.0528053;0.2655554;0.1592933;0.1217395;0.2248383;0.3773459;0.0103778;0.2273151;0.0000000;0.0000000;0.4198509;0.3772222;0.0570203;0.1698366;
lobation: palmately lobed;120;45;462;100;342;55;0.0365978;0.2722413;0.0618254;0.0684527;0.0617567;0.1153119;0.1385244;0.1513264;0.0871864;0.0870640;0.6025805;0.2538066;0.1756139;0.3223382;0.2363034;0.0782362;0.0301323;0.4588914;0.1067124;0.1531593;0.2065491;0.5834975;0.0000000;0.3001814;0.0000000;0.0000000;0.6258123;0.5408536;0.0000000;0.1020017;
lobation: pinnately lobed;15;3;60;7;45;4;0.0833333;0.2142857;0.0517601;0.0537866;0.0928556;0.1901512;0.2031812;0.3771755;0.0698622;0.0770600;0.7153454;0.6672577;0.4027778;0.1585317;0.4436728;0.2032407;0.0833333;0.5833333;0.4469697;0.0742683;0.0555556;0.7375772;0.0000000;0.5516975;0.0000000;0.0000000;0.7050926;0.8557870;0.0000000;0.1515873;
margin: entire;270;119;1294;251;1024;132;0.1785064;0.1548094;0.0911518;0.0948181;0.1179278;0.2797675;0.3475640;0.3653663;0.2275382;0.2265503;0.5126857;0.3241139;0.2116729;0.1434211;0.2155807;0.1841847;0.0663712;0.3339667;0.2092920;0.1187906;0.2548712;0.4110046;0.0039683;0.2471314;0.0000000;0.0000000;0.4780924;0.4068042;0.0585205;0.1785146;
margin: toothed;229;106;1058;239;829;133;0.0640554;0.2311619;0.0962158;0.0892384;0.1136422;0.1343218;0.1699537;0.2092465;0.0880797;0.1180688;0.4559287;0.2719625;0.2330588;0.2369249;0.2957770;0.0972070;0.0380230;0.2963085;0.1044776;0.1148459;0.1807915;0.4487046;0.0100069;0.2279265;0.0000000;0.0000000;0.4934751;0.4239598;0.0555556;0.1213809;
margin: toothed crenate;72;33;369;78;297;45;0.0356352;0.1605941;0.0575679;0.1043872;0.1003409;0.1905939;0.2053508;0.2367064;0.1133362;0.1356823;0.4474129;0.2140151;0.1598797;0.2161079;0.2556503;0.1437407;0.0186050;0.3140733;0.1293458;0.0646243;0.1412560;0.4132749;0.0256410;0.2362802;0.0000000;0.0000000;0.3806204;0.4065727;0.0384615;0.1129234;
margin: toothed dentate;107;61;525;133;418;72;0.0872839;0.2696934;0.1299057;0.0825271;0.1381274;0.1354460;0.1627002;0.1941468;0.0774983;0.1262490;0.5035345;0.3390011;0.2890917;0.3451297;0.3666858;0.0929368;0.0433017;0.2914592;0.1061658;0.1006272;0.2201495;0.5298101;0.0000000;0.2486376;0.0000000;0.0000000;0.6134601;0.4912453;0.0588235;0.1471312;
margin: toothed serrate ;123;52;608;119;485;67;0.1307614;0.2746564;0.0854178;0.1191361;0.1263481;0.1916243;0.2378262;0.2807040;0.0916378;0.1556323;0.4110311;0.2443662;0.2512517;0.1406362;0.2134184;0.1212509;0.0300011;0.2819814;0.1681816;0.1527543;0.2426341;0.3614980;0.0169643;0.2087094;0.0000000;0.0000000;0.3857326;0.3233226;0.0989583;0.1412161;
organisation: bipinnately compound;5;4;45;9;40;5;0.0000000;0.1250000;0.0419473;0.0738004;0.0712528;0.0669065;0.1546261;0.1629808;0.0235967;0.0317393;0.2067593;0.1666667;0.2812500;0.0000000;0.0416667;0.0372186;0.0416667;0.1111111;0.0159424;0.2262508;0.1500000;0.5000000;0.2500000;0.5000000;0.0000000;0.0000000;0.5000000;0.5000000;0.0000000;0.1284722;
organisation: compound;94;50;470;107;376;57;0.1068287;0.1722124;0.0979839;0.0885863;0.1335031;0.3035752;0.3431271;0.3410477;0.2319480;0.2197901;0.4670858;0.2970477;0.2186622;0.0851273;0.1154736;0.1372532;0.0278241;0.2272934;0.2264906;0.1463297;0.1620146;0.3816206;0.0277778;0.3105579;0.0000000;0.0000000;0.4146069;0.3727093;0.0180556;0.1463933;
organisation: palmately compound;15;9;95;20;80;11;0.0833333;0.2291667;0.0505677;0.1944027;0.1788511;0.3769371;0.3439123;0.3347517;0.0505927;0.1263324;0.4861111;0.2912533;0.2728505;0.1493056;0.1499614;0.1176125;0.0305556;0.2317130;0.1071157;0.0589503;0.1083333;0.3139881;0.0000000;0.2175595;0.0000000;0.0000000;0.3034722;0.2840278;0.0833333;0.0637126;
