MorphologicalFeature;PictureNumberTest;IndividualPlantNumberTest;PictureNumberAll;IndividualPlantNumberAll;PictureNumberTrain;IndividualPlantNumberTrain;1338909159599__artelab-gallo-run_OfficialScore_InverseRank;1339772364611__LIRIS_run_00_OfficialScore_InverseRank;1340331426139__ZhaoHFUT_run1_OfficialScore_InverseRank;1340331843469__ZhaoHFUT_run2_OfficialScore_InverseRank;1340332545702__ZhaoHFUT_run3_OfficialScore_InverseRank;1340355500493__results_cdd_plants2012_lpq_spyr_OfficialScore_InverseRank;1340355731188__result_latefusion_OfficialScore_InverseRank;1340442006232__result_latefusion1_OfficialScore_InverseRank;1340621173682__dbis_format_run01_visual_gps_qbe_204627_OfficialScore_InverseRank;1340621257880__dbis_format_run02_visual_qbe_998879_OfficialScore_InverseRank;1340646105047__IFSC USP_run1_OfficialScore_InverseRank;1340646169213__IFSC USP_run2_OfficialScore_InverseRank;1340800216179__run-imedia-comb_matching_form-seg_filt_romb_OfficialScore_InverseRank;1340914029811__Sabanci_Okan_run1_OfficialScore_InverseRank;1340914195368__Sabanci_Okan_run1_PhotosWithManuelSegm_OfficialScore_InverseRank;1340954813845__dbis_format_run04_clustering_visual_gps_OfficialScore_InverseRank;1340963576839__LirisReVeS_run2_OfficialScore_InverseRank;1340967474781__LIRIS_run_01_OfficialScore_InverseRank;1340969891703__dbis_format_run03_visual_gps_qbe_topk_150_250_OfficialScore_InverseRank;1340978702513__IFSC USP_run3_OfficialScore_InverseRank;1340981884347__run-imedia-shape_context-seg_romb_OfficialScore_InverseRank;1341060086533__thewho_run1_OfficialScore_InverseRank;1341067956101__RMIT_run1_OfficialScore_InverseRank;1341067995504__thewho_run2_OfficialScore_InverseRank;1341068124404__RMIT_run3_OfficialScore_InverseRank;1341068182642__RMIT_run2_OfficialScore_InverseRank;1341076598230__thewho_run3_OfficialScore_InverseRank;1341086902847__thewho_run4_OfficialScore_InverseRank;1341325862488__brainsignals_run1_OfficialScore_InverseRank;1341413130673__run-imedia-3_OfficialScore_InverseRank;
color: dark;376;37;1223;86;847;49;0.4323476;0.1895146;0.2812184;0.1746788;0.2810903;0.2577994;0.3059959;0.4050547;0.2022456;0.1907274;0.3824145;0.3926552;0.5599778;0.4584894;0.4584894;0.1572986;0.1551971;0.3623317;0.1749620;0.1108078;0.4423666;0.2888446;0.0000000;0.2088476;0.0000000;0.0089286;0.3455583;0.2988874;0.2131102;0.5222392;
color: light;288;16;623;37;335;21;0.4513351;0.3304103;0.3216861;0.2728832;0.3876006;0.4709370;0.5338642;0.5584344;0.2085281;0.1670840;0.5697306;0.4554773;0.5726025;0.7085341;0.7085341;0.1874645;0.2658560;0.6569598;0.1801675;0.2929630;0.7151837;0.4770601;0.0000000;0.2868994;0.0000000;0.0000000;0.5598421;0.4732926;0.3545407;0.5801927;
lobation: bilobed;7;1;42;3;35;2;0.8928571;0.2857143;0.2741240;0.3319444;0.4746032;0.0296100;0.1037078;0.4285714;0.0323447;0.0537134;0.2670068;0.4047619;1.0000000;1.0000000;1.0000000;0.0769231;0.1904762;0.2857143;0.0357222;0.0197325;1.0000000;0.1178571;0.0000000;0.0158730;0.0000000;0.0000000;0.1303288;0.1210317;0.2857143;0.8333333;
lobation: lobes;183;20;540;50;357;30;0.4544971;0.3302377;0.2863849;0.1299024;0.2931982;0.3694284;0.3798395;0.4899816;0.1388887;0.0804003;0.4591154;0.4905956;0.6260124;0.7001519;0.7001519;0.1070894;0.1832503;0.6251576;0.1092465;0.1478081;0.7146362;0.4588087;0.0000000;0.3691982;0.0000000;0.0000000;0.5400543;0.4804003;0.2211445;0.4795289;
lobation: no lobes;724;65;2186;153;1462;88;0.4068606;0.1860119;0.2730684;0.2186630;0.3060908;0.2807876;0.3251170;0.4085161;0.2148740;0.2267302;0.4204979;0.4069336;0.5654038;0.5021408;0.5021408;0.1724662;0.1447820;0.3793549;0.2014459;0.1477224;0.4774541;0.2888964;0.0000000;0.2119772;0.0000000;0.0040323;0.3233410;0.2943557;0.2560414;0.5298839;
lobation: palmately lobed;148;16;459;40;311;24;0.4835447;0.3341016;0.3061807;0.1549946;0.3371798;0.3728189;0.3676884;0.4291763;0.1379179;0.0683487;0.4760553;0.5137611;0.6666846;0.7183256;0.7183256;0.0949104;0.2258027;0.6886256;0.1131456;0.1561216;0.7368962;0.4890702;0.0000000;0.3793582;0.0000000;0.0000000;0.5663311;0.5056588;0.2435652;0.5261874;
lobation: pinnately lobed;35;4;81;10;46;6;0.2737037;0.2287919;0.1611151;0.0423846;0.0827434;0.1114848;0.2016960;0.4611805;0.0831407;0.1357798;0.3108692;0.2980464;0.4033730;0.4890212;0.4890212;0.0981416;0.0444444;0.2621606;0.0500625;0.0363467;0.3982804;0.2187136;0.0000000;0.0755004;0.0000000;0.0000000;0.3208741;0.2363922;0.1333333;0.2752929;
margin: entire;462;42;1384;100;922;58;0.4738212;0.2770954;0.3099116;0.2339350;0.3388800;0.2905547;0.3213911;0.3985019;0.2588036;0.2501604;0.5422185;0.5612827;0.5834407;0.7225705;0.7225705;0.1910834;0.2167272;0.5880060;0.2434752;0.1646062;0.7301252;0.4445756;0.0000000;0.2746602;0.0000000;0.0000000;0.5908821;0.4622230;0.3727431;0.5282845;
margin: toothed;471;46;1450;110;979;64;0.4103536;0.3010749;0.2776444;0.2042147;0.3109107;0.4111738;0.4568961;0.5534406;0.2229697;0.1574474;0.4630702;0.4312658;0.6031960;0.5383805;0.5383805;0.1752097;0.1715506;0.4565757;0.1951128;0.2035037;0.4977211;0.3590339;0.0000000;0.2881953;0.0000000;0.0052083;0.3326391;0.3657851;0.2624033;0.4815551;
margin: toothed crenate;111;14;406;35;295;21;0.5028849;0.2471205;0.2990990;0.1969033;0.3077945;0.2726701;0.3043836;0.4138462;0.2069468;0.1711441;0.3930046;0.3839224;0.6955093;0.6104683;0.6104683;0.2018215;0.1597768;0.4453081;0.1708178;0.1469494;0.5269742;0.3558276;0.0000000;0.3000541;0.0000000;0.0000000;0.4030649;0.3486486;0.3142857;0.5434637;
