Species;PictureNumberTest;IndividualPlantNumberTest;PictureNumberAll;IndividualPlantNumberAll;PictureNumberTrain;IndividualPlantNumberTrain;1338909159599__artelab-gallo-run_OfficialScore_InverseRank;1339772364611__LIRIS_run_00_OfficialScore_InverseRank;1340331426139__ZhaoHFUT_run1_OfficialScore_InverseRank;1340331843469__ZhaoHFUT_run2_OfficialScore_InverseRank;1340332545702__ZhaoHFUT_run3_OfficialScore_InverseRank;1340355500493__results_cdd_plants2012_lpq_spyr_OfficialScore_InverseRank;1340355731188__result_latefusion_OfficialScore_InverseRank;1340442006232__result_latefusion1_OfficialScore_InverseRank;1340621173682__dbis_format_run01_visual_gps_qbe_204627_OfficialScore_InverseRank;1340621257880__dbis_format_run02_visual_qbe_998879_OfficialScore_InverseRank;1340646105047__IFSC USP_run1_OfficialScore_InverseRank;1340646169213__IFSC USP_run2_OfficialScore_InverseRank;1340800216179__run-imedia-comb_matching_form-seg_filt_romb_OfficialScore_InverseRank;1340914029811__Sabanci_Okan_run1_OfficialScore_InverseRank;1340914195368__Sabanci_Okan_run1_PhotosWithManuelSegm_OfficialScore_InverseRank;1340954813845__dbis_format_run04_clustering_visual_gps_OfficialScore_InverseRank;1340963576839__LirisReVeS_run2_OfficialScore_InverseRank;1340967474781__LIRIS_run_01_OfficialScore_InverseRank;1340969891703__dbis_format_run03_visual_gps_qbe_topk_150_250_OfficialScore_InverseRank;1340978702513__IFSC USP_run3_OfficialScore_InverseRank;1340981884347__run-imedia-shape_context-seg_romb_OfficialScore_InverseRank;1341060086533__thewho_run1_OfficialScore_InverseRank;1341067956101__RMIT_run1_OfficialScore_InverseRank;1341067995504__thewho_run2_OfficialScore_InverseRank;1341068124404__RMIT_run3_OfficialScore_InverseRank;1341068182642__RMIT_run2_OfficialScore_InverseRank;1341076598230__thewho_run3_OfficialScore_InverseRank;1341086902847__thewho_run4_OfficialScore_InverseRank;1341325862488__brainsignals_run1_OfficialScore_InverseRank;1341413130673__run-imedia-3_OfficialScore_InverseRank;
Acer campestre;52;5;98;14;46;9;0.4075608;0.4993009;0.3497171;0.1544659;0.2810462;0.1599245;0.2350833;0.4604380;0.0583612;0.0909221;0.3392400;0.2750049;0.7327177;0.7681726;0.7681726;0.0632823;0.0800557;0.9263558;0.0938083;0.0396161;0.1894197;0.4994549;0.0000000;0.2582506;0.0000000;0.0000000;0.6570622;0.5502732;0.1539683;0.6094685;
Acer monspessulanum;32;1;99;7;67;6;0.9843750;0.5872760;0.7443452;0.6818398;0.9088542;0.9151042;0.9375000;0.9687500;0.6677207;0.8218006;0.9375000;0.9218750;1.0000000;1.0000000;1.0000000;0.5000000;0.2994792;0.9843750;0.4078779;0.2826503;1.0000000;1.0000000;0.0000000;1.0000000;0.0000000;0.0000000;1.0000000;1.0000000;1.0000000;0.9843750;
Acer negundo;20;2;58;4;38;2;0.6954212;0.5170611;0.2837268;0.0825776;0.2365211;0.2069130;0.2019787;0.3367216;0.7444597;0.5653999;0.5940018;0.6362114;0.5024267;0.8025641;0.8025641;0.0573260;0.3390568;0.5674145;0.8081419;0.0692718;0.1887057;0.1144689;0.0000000;0.0425824;0.6703297;0.0000000;0.0801282;0.0485348;0.5494505;0.8814103;
Acer opalus;2;1;17;3;15;2;1.0000000;0.6666667;0.1416667;0.0495726;0.2700000;0.0190906;0.0211640;0.0588235;0.0267094;0.5500000;1.0000000;1.0000000;0.3750000;1.0000000;1.0000000;0.1250000;0.0000000;0.5555556;0.0121969;0.6666667;1.0000000;0.4166667;0.0000000;0.1339286;0.0000000;0.0000000;1.0000000;0.5000000;1.0000000;0.4166667;
Acer platanoides;9;2;31;4;22;2;0.6388889;0.4583333;0.0939845;0.1031235;0.1842321;0.0199062;0.0522632;0.1663029;0.0177060;0.2060963;0.1485780;0.1900794;0.9583333;0.8750000;0.8750000;0.0153263;0.2916667;0.6666667;0.0270369;0.0403140;0.4518519;0.4351852;0.0000000;0.0000000;0.0000000;0.0000000;0.6944444;0.5444444;0.4166667;0.7777778;
Acer pseudoplatanus;9;2;23;5;14;3;0.3012500;0.0416667;0.0750957;0.0753401;0.1302331;0.4248084;0.5053704;0.5216399;0.7444444;0.4534524;0.8562500;0.8333333;0.5583333;0.6392857;0.6392857;0.3294192;0.2250000;0.0921310;0.4871108;0.3288131;0.1062500;0.6166667;0.0000000;0.6750000;0.0000000;0.0000000;0.2455357;0.7083333;0.1250000;0.2128802;
Acer saccharinum;7;1;24;3;17;2;0.5952381;0.0476190;0.0387928;0.0232309;0.0349442;0.0111022;0.0427507;0.0781733;0.0301313;0.0312337;0.5642857;0.0000000;0.7261905;0.6785714;0.6785714;0.0769231;0.0714286;0.1428571;0.0882503;0.1718254;0.5952381;0.5119048;0.0000000;0.2428571;0.0000000;0.0000000;0.6904762;0.5000000;0.0000000;0.1516353;
Aesculus hippocastanum;15;2;44;8;29;6;0.8611111;0.0451279;0.5984127;0.8805556;0.9079365;0.9629630;1.0000000;1.0000000;0.5264550;0.3529682;0.9722222;0.9629630;0.9166667;0.8750000;0.8750000;0.0937500;0.3796296;0.0898207;0.1582988;0.5538970;0.9444444;0.9027778;0.0000000;0.8611111;0.0000000;0.0000000;0.9027778;0.8194444;1.0000000;0.8750000;
Ailanthus altissima;0;0;0;0;0;0;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
Albizia julibrissin;0;0;45;1;45;1;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
