RunFileName;Scan _OfficialScore_InverseRank;pseudoscan _OfficialScore_InverseRank;photograph _OfficialScore_InverseRank;
RunFiles2012/1338909159599__artelab-gallo-run.txt;0.4023001;0.3741676;0.1357148;
RunFiles2012/1339772364611__LIRIS_run_00.txt;0.3085401;0.2615161;0.1890224;
RunFiles2012/1340331426139__ZhaoHFUT_run1.run;0.2990285;0.2408534;0.0876622;
RunFiles2012/1340331843469__ZhaoHFUT_run2.run;0.2353993;0.1743419;0.0891826;
RunFiles2012/1340332545702__ZhaoHFUT_run3.run;0.3152449;0.2610118;0.1130831;
RunFiles2012/1340355500493__results_cdd_plants2012_lpq_spyr.txt;0.3291728;0.3206965;0.2363812;
RunFiles2012/1340355731188__result_latefusion.txt;0.3473295;0.3473598;0.2869504;
RunFiles2012/1340442006232__result_latefusion1.txt;0.4103430;0.4180248;0.3212438;
RunFiles2012/1340621173682__dbis_format_run01_visual_gps_qbe_204627.txt;0.2684537;0.1765970;0.1654147;
RunFiles2012/1340621257880__dbis_format_run02_visual_qbe_998879.txt;0.2717956;0.1731686;0.1734988;
RunFiles2012/1340646105047__IFSC USP_run1.txt;0.3504333;0.4082707;0.5115784;
RunFiles2012/1340646169213__IFSC USP_run2.txt;0.3356137;0.4322165;0.3002512;
RunFiles2012/1340800216179__run-imedia-comb_matching_form-seg_filt_romb.dat;0.4892643;0.5417001;0.2192006;
RunFiles2012/1340914029811__Sabanci_Okan_run1.txt;0.5782234;0.5457247;0.1629751;
RunFiles2012/1340914195368__Sabanci_Okan_run1_PhotosWithManuelSegm.txt;0.5782234;0.5457247;0.2196538;
RunFiles2012/1340954813845__dbis_format_run04_clustering_visual_gps.txt;0.2259769;0.1397324;0.1307951;
RunFiles2012/1340963576839__LirisReVeS_run2.txt;0.2122611;0.1538489;0.0491530;
RunFiles2012/1340967474781__LIRIS_run_01.run;0.4188802;0.5058903;0.3278902;
RunFiles2012/1340969891703__dbis_format_run03_visual_gps_qbe_topk_150_250.txt;0.2416353;0.1594487;0.1551822;
RunFiles2012/1340978702513__IFSC USP_run3.txt;0.2012614;0.1408891;0.1242968;
RunFiles2012/1340981884347__run-imedia-shape_context-seg_romb.dat;0.3925733;0.5938542;0.2061804;
RunFiles2012/1341060086533__thewho_run1.run;0.3727939;0.3354027;0.4339446;
RunFiles2012/1341067956101__RMIT_run1.txt;0.0000000;0.0000000;0.0060811;
RunFiles2012/1341067995504__thewho_run2.run;0.3042989;0.2518884;0.2416982;
RunFiles2012/1341068124404__RMIT_run3.txt;0.0088776;0.0000000;0.0000000;
RunFiles2012/1341068182642__RMIT_run2.txt;0.0000000;0.0025641;0.0000000;
RunFiles2012/1341076598230__thewho_run3.run;0.4269554;0.3965140;0.4872416;
RunFiles2012/1341086902847__thewho_run4.run;0.3742497;0.3526235;0.4265508;
RunFiles2012/1341325862488__brainsignals_run1.txt;0.2533869;0.2155558;0.0462635;
RunFiles2012/1341413130673__run-imedia-3.txt;0.4711135;0.4607436;0.1503811;
